County,White,Black,Asian,AIAN,NHPI,Hispanic
"Fulton County, Indiana",63,2,1,-,-,23
"Gibson County, Indiana",125,1,0,-,-,3
"Grant County, Indiana",305,24,0,-,-,25
"Greene County, Indiana",198,0,0,-,-,2
"Hamilton County, Indiana",1077,96,34,-,-,58
"Hancock County, Indiana",319,22,3,-,-,11
"Harrison County, Indiana",216,0,0,-,-,19
"Hendricks County, Indiana",930,175,17,-,-,50
"Henry County, Indiana",219,9,0,-,-,8
"Howard County, Indiana",421,61,1,-,-,24
"Huntington County, Indiana",94,1,0,-,-,8
"Jackson County, Indiana",316,3,1,-,-,198
"Jasper County, Indiana",73,2,1,-,-,23
"Jay County, Indiana",45,1,0,-,-,30
"Jefferson County, Indiana",87,0,0,-,-,1
"Jennings County, Indiana",143,0,0,-,-,12
"Johnson County, Indiana",854,50,18,-,-,37
"Knox County, Indiana",69,2,2,-,-,1
"Kosciusko County, Indiana",248,6,2,-,-,66
"LaGrange County, Indiana",352,0,0,-,-,16
"Lake County, Indiana",1670,1218,25,-,-,778
"LaPorte County, Indiana",328,121,3,,,43
"Lawrence County, Indiana",222,0,0,,,1
"Madison County, Indiana",421,73,2,,,15
"Marion County, Indiana",4058,3095,218,,,1426
"Marshall County, Indiana",271,3,0,,,113
"Martin County, Indiana",21,0,0,,,0
"Miami County, Indiana",139,6,3,,,19
"Monroe County, Indiana",341,28,9,,,27
"Montgomery County, Indiana",132,3,0,,,51
"Morgan County, Indiana",239,1,1,,,4
"Newton County, Indiana",71,3,0,,,8
"Noble County, Indiana",337,1,4,,,117
"Ohio County, Indiana",26,0,0,,,0
"Orange County, Indiana",126,1,0,,,1
"Owen County, Indiana",39,0,1,,,2
"Parke County, Indiana",18,0,0,-,-,0
"Perry County, Indiana",116,3,0,-,-,0
"Pike County, Indiana",17,0,0,-,-,0
"Porter County, Indiana",504,73,3,-,-,61
"Posey County, Indiana",89,3,0,-,-,0
"Pulaski County, Indiana",60,2,1,-,-,0
"Putnam County, Indiana",131,11,1,-,-,4
"Randolph County, Indiana",60,0,0,-,-,9
"Ripley County, Indiana",132,0,1,-,-,2
"Rush County, Indiana",60,1,0,-,-,0
"Scott County, Indiana",163,1,0,-,-,9
"Shelby County, Indiana",334,6,1,-,-,67
"Spencer County, Indiana",64,0,0,-,-,6
"St. Joseph County, Indiana",866,409,15,-,-,197
"Starke County, Indiana",88,2,0,-,-,4
"Steuben County, Indiana",76,0,1,-,-,16
"Sullivan County, Indiana",46,0,0,-,-,0
"Switzerland County, Indiana",26,0,0,-,-,0
"Tippecanoe County, Indiana",443,80,7,-,-,195
"Tipton County, Indiana",36,1,0,-,-,2
"Union County, Indiana",13,0,0,-,-,0
"Vanderburgh County, Indiana",715,150,7,-,-,12
"Vermillion County, Indiana",18,0,0,-,-,0
"Vigo County, Indiana",127,28,4,-,-,13
"Wabash County, Indiana",96,2,2,-,-,10
"Warren County, Indiana",13,0,0,-,-,1
"Warrick County, Indiana",286,5,4,-,-,3
"Washington County, Indiana",63,0,0,-,-,2
"Wayne County, Indiana",118,17,3,-,-,11
"Wells County, Indiana",63,0,0,-,-,2
"White County, Indiana",194,4,3,-,-,77
"Whitley County, Indiana",87,2,-,-,-,3
"Alcona County, Michigan",11,-,-,-,-,
"Alger County, Michigan",-,-,-,-,-,
"Allegan County, Michigan",251,8,-,-,-,
"Alpena County, Michigan",84,-,-,-,-,
"Antrim County, Michigan",24,-,-,-,-,
"Arenac County, Michigan",33,-,-,-,-,
"Baraga County, Michigan",-,-,-,-,-,
"Barry County, Michigan",102,-,-,-,-,
"Bay County, Michigan",300,6,-,-,-,
"Benzie County, Michigan",16,-,-,-,-,
"Berrien County, Michigan",476,283,15,-,-,
"Branch County, Michigan",209,0,0,0,-,-
"Calhoun County, Michigan",371,98,79,0,-,-
"Cass County, Michigan",148,11,0,0,-,-
"Charlevoix County, Michigan",32,0,0,0,-,-
"Cheboygan County, Michigan",19,0,0,0,-,-
"Chippewa County, Michigan",14,0,0,7,-,-
"Clare County, Michigan",35,0,0,0,-,-
"Clinton County, Michigan",185,13,0,0,-,-
"Crawford County, Michigan",75,0,0,0,-,-
"Delta County, Michigan",26,0,0,0,-,-
"Detroit City, Michigan",660,7343,37,34,-,-
"Dickinson County, Michigan",19,0,0,0,-,-
"Eaton County, Michigan",197,41,23,0,-,-
"Emmet County, Michigan",33,0,0,0,-,-
"Genesee County, Michigan",909,811,18,13,-,-
"Gladwin County, Michigan",24,0,0,0,-,-
"Gogebic County, Michigan",30,0,0,0,-,-
"Grand Traverse County, Michigan",100,0,0,0,-,-
"Gratiot County, Michigan",89,0,0,0,-,-
"Hillsdale County, Michigan",184,0,0,0,-,-
"Houghton County, Michigan",25,0,0,0,-,-
"Huron County, Michigan",76,0,0,0,-,-
"Ingham County, Michigan",625,272,115,0,-,-
"Ionia County, Michigan",150,0,0,0,-,-
"Iosco County, Michigan",79,0,0,0,-,-
"Iron County, Michigan",9,0,0,0,-,-
"Isabella County, Michigan",94,6,0,0,-,-
"Jackson County, Michigan",408,83,0,0,-,-
"Kalamazoo County, Michigan",573,341,13,0,-,-
"Kalkaska County, Michigan",30,-,-,-,-,-
"Kent County, Michigan",1.734,938,254,48,-,-
"Keweenaw County, Michigan",-,-,-,-,-,-
"Lake County, Michigan",-,-,-,-,-,-
"Lapeer County, Michigan",,,,,,-
"Leelanau County, Michigan",,,,,,-
"Lenawee County, Michigan",,,,,,-
"Livingston County, Michigan",,,,,,-
"Luce County, Michigan",-,-,-,-,-,-
"Mackinac County, Michigan",,,,,,-
"Macomb County, Michigan",,,,,,-
"Manistee County, Michigan",,,,,,-
"Marquette County, Michigan",,-,-,-,-,-
"Mason County, Michigan",,-,-,-,-,-
"Mecosta County, Michigan",,-,-,-,-,-
"Menominee County, Michigan",36,-,-,-,-,-
"Midland County, Michigan",116,8,18,-,-,-
"Missaukee County, Michigan",21,-,-,-,-,-
"Monroe County, Michigan",509,49,-,-,-,-
"Montcalm County, Michigan",103,-,-,-,-,-
"Montmorency County, Michigan",-,-,-,-,-,-
"Muskegon County, Michigan",495,335,-,-,-,-
"Newaygo County, Michigan",134,-,-,-,-,-
"Oakland County, Michigan",4442,2952,339,47,-,-
"Oceana County, Michigan",195,-,-,-,-,-
"Ogemaw County, Michigan",30,-,-,-,-,-
"Ontonagon County, Michigan",-,-,-,-,-,-
"Osceola County, Michigan",49,-,-,-,-,-
"Oscoda County, Michigan ",17,-,-,-,-,-
"Otsego County, Michigan",99,-,-,-,-,-
"Ottawa County, Michigan",1020,31,35,-,-,-
"Presque Isle County, Michigan",9,-,-,-,-,-
"Roscommon County, Michigan",37,-,-,-,-,-
"Saginaw County, Michigan",734,428,8,-,-,-
"Sanilac County, Michigan",57,-,-,-,-,-
"Schoolcraft County, Michigan",6,-,-,-,-,-
"Shiawassee County, Michigan",218,-,-,-,-,-
"St. Clair County, Michigan",488,23,-,-,-,-
"St. Joseph County, Michigan",273,-,-,-,-,-
"Tuscola County, Michigan",178,11,-,-,-,-
"Van Buren County, Michigan",178,6,-,-,-,-
"Washtenaw County, Michigan",1053,567,57,-,-,-
"Wayne County, Michigan",5030,3154,230,28,-,-
"Wexford County, Michigan",33,-,-,-,-,-
"Dane County, Wisconsin",882,112,42,7,-,193
"Eau Claire County, Wisconsin",331,9,17,1,0,16
"Kenosha County, Wisconsin",-,-,-,-,-,-
"Milwaukee, Wisconsin",2020,4203,536,36,17,4572
"Pierce County, Wisconsin",-,-,-,-,-,-
"Portage County, Wisconsin",225,2,18,0,0,65
"Racine County, Wisconsin",-,-,-,-,-,-
"Rock County, Wisconsin",-,-,-,-,-,-
"Wood County, Wisconsin",97,-,3,-,-,7
"Adams County, Illinois",159,34,0,0,0,-
"Alexander County, Illinois",15,15,0,0,0,-
"Bond County, Illinois",12,0,0,0,0,-
"Boone County, Illinois",231,15,0,0,0,372
"Brown County, Illinois",9,0,0,0,0,0
"Bureau County, Illinois",23,0,0,0,0,14
"Carroll County, Illinois",15,0,0,0,0,-
"Cass County, Illinois",84,7,0,0,0,50
"Champaign County, Illinois",438,265,22,0,0,386
